Accession,Description,GeneName,Peptides,PSMs,AAs,MW.kDA,pI,QuantifyingPSMs,T37,T40,T43,T46,T49,T52,T55,T58,T61,T64
Q8IVB5,LIX1-like protein OS=Homo sapiens GN=LIX1L PE=2 SV=1,LIX1L,1,2,337,36.54,8.56,1,0.999,0.943,0.798,0.769,0.533,0.339,0.224,0.103,0.158,0.159
Q8IVD9,NudC domain-containing protein 3 OS=Homo sapiens GN=NUDCD3 PE=1 SV=3,NUDCD3,44,197,361,40.797,5.25,92,0.999,1.022,0.944,0.725,0.413,0.232,0.133,0.098,0.09,0.099
Q8IVF2,Protein AHNAK2 OS=Homo sapiens GN=AHNAK2 PE=1 SV=2,AHNAK2,23,57,5795,616.242,5.36,7,0.999,1.011,0.992,0.983,0.869,0.619,0.528,0.446,0.328,0.244
Q8IVF4,"Dynein heavy chain 10, axonemal OS=Homo sapiens GN=DNAH10 PE=1 SV=4",DNAH10,4,6,4471,514.512,5.88,2,0.999,1.048,1.033,0.879,0.608,0.309,0.144,0.088,0.063,0.074
Q8IVF6,Ankyrin repeat domain-containing protein 18A OS=Homo sapiens GN=ANKRD18A PE=1 SV=3,ANKRD18A,2,3,992,115.525,7.83,1,0.999,1.203,1.308,1.169,0.983,0.609,0.514,0.653,0.968,1.119
Q8IVF7,Formin-like protein 3 OS=Homo sapiens GN=FMNL3 PE=1 SV=3,FMNL3,3,6,1028,117.139,6.65,1,0.999,1.023,0.968,0.669,0.563,0.269,0.164,0.053,0.078,0.079
Q8IVH2,Forkhead box protein P4 OS=Homo sapiens GN=FOXP4 PE=1 SV=1,FOXP4,2,4,680,73.443,6.4,2,0.999,0.833,0.608,0.409,0.393,0.219,0.144,0.093,0.098,0.109
Q8IVH4,"Methylmalonic aciduria type A protein, mitochondrial OS=Homo sapiens GN=MMAA PE=1 SV=1",MMAA,2,4,418,46.509,9.29,2,0.999,0.953,0.898,0.889,0.693,0.379,0.174,0.103,0.098,0.079
Q8IVH8,Mitogen-activated protein kinase kinase kinase kinase 3 OS=Homo sapiens GN=MAP4K3 PE=1 SV=1,MAP4K3,16,31,894,101.251,7.56,9,0.999,1.021,0.943,0.844,0.511,0.279,0.203,0.121,0.104,0.117
Q8IVL1,Neuron navigator 2 OS=Homo sapiens GN=NAV2 PE=1 SV=3,NAV2,3,10,2488,268.003,9.03,6,0.999,1.048,1.1,1.144,1.178,1.199,1.131,1.021,0.568,0.422
Q8IVL5,Prolyl 3-hydroxylase 2 OS=Homo sapiens GN=LEPREL1 PE=1 SV=1,LEPREL1,2,6,708,80.933,5.71,3,0.999,0.963,0.878,0.849,0.643,0.449,0.334,0.293,0.268,0.269
Q8IVL6,Prolyl 3-hydroxylase 3 OS=Homo sapiens GN=LEPREL2 PE=2 SV=1,LEPREL2,16,34,736,81.786,6.32,16,0.999,0.992,0.817,0.605,0.495,0.309,0.224,0.198,0.185,0.217
Q8IVM0,Isoform 2 of Coiled-coil domain-containing protein 50 OS=Homo sapiens GN=CCDC50,CCDC50,51,155,482,56.305,8.21,77,0.999,0.995,1.01,0.921,0.873,0.711,0.587,0.483,0.445,0.394
Q8IVS2,"Malonyl-CoA-acyl carrier protein transacylase, mitochondrial OS=Homo sapiens GN=MCAT PE=1 SV=2",MCAT,28,69,390,42.934,8.72,30,0.999,0.998,0.966,0.891,0.721,0.518,0.318,0.19,0.135,0.114
Q8IVU3,Probable E3 ubiquitin-protein ligase HERC6 OS=Homo sapiens GN=HERC6 PE=2 SV=2,HERC6,1,2,1022,115.052,7.96,1,0.999,0.993,0.878,0.979,0.863,0.569,0.264,0.173,0.138,0.149
Q8IVV7,Glucose-induced degradation protein 4 homolog OS=Homo sapiens GN=GID4 PE=2 SV=1,GID4,14,32,300,33.493,9.16,16,0.999,0.984,1.012,0.947,0.841,0.6,0.421,0.209,0.128,0.135
Q8IVW4,Cyclin-dependent kinase-like 3 OS=Homo sapiens GN=CDKL3 PE=2 SV=1,CDKL3,2,4,592,67.471,9.31,1,0.999,1.153,0.958,0.799,0.523,0.239,0.094,0.083,0.078,0.089
Q8IVW6,AT-rich interactive domain-containing protein 3B OS=Homo sapiens GN=ARID3B PE=1 SV=2,ARID3B,10,20,561,60.6,7.52,11,0.999,1.028,0.852,0.611,0.47,0.31,0.198,0.146,0.153,0.151
Q8IW19,Aprataxin and PNK-like factor OS=Homo sapiens GN=APLF PE=1 SV=1,APLF,2,4,511,56.921,5.08,2,0.999,0.968,0.913,0.594,0.453,0.264,0.179,0.168,0.153,0.144
Q8IW35,Isoform 2 of Centrosomal protein of 97 kDa OS=Homo sapiens GN=CEP97,CEP97,52,123,891,99.846,5.08,55,0.999,1.064,0.936,0.845,0.497,0.277,0.167,0.121,0.116,0.121
Q8IW40,Coiled-coil domain-containing protein 103 OS=Homo sapiens GN=CCDC103 PE=1 SV=1,CCDC103,1,2,242,27.146,5.97,2,0.999,0.983,1.088,0.929,0.853,0.689,0.534,0.473,0.368,0.229
Q8IW45,ATP-dependent (S)-NAD(P)H-hydrate dehydratase OS=Homo sapiens GN=CARKD PE=1 SV=1,CARKD,12,25,347,36.553,8.06,12,0.999,0.985,0.944,0.931,0.786,0.612,0.418,0.381,0.359,0.363
Q8IWA0,WD repeat-containing protein 75 OS=Homo sapiens GN=WDR75 PE=1 SV=1,WDR75,5,10,830,94.438,5.96,5,0.999,1.055,1.023,0.908,0.625,0.384,0.216,0.167,0.157,0.128
Q8IWB6,Inactive serine/threonine-protein kinase TEX14 OS=Homo sapiens GN=TEX14 PE=1 SV=2,TEX14,1,1,1497,167.796,5.15,1,0.999,0.823,0.838,0.629,0.443,0.119,0.034,0.033,0.038,0.069
Q8IWB7,WD repeat and FYVE domain-containing protein 1 OS=Homo sapiens GN=WDFY1 PE=1 SV=1,WDFY1,22,59,410,46.293,7.33,29,0.999,0.982,0.992,0.959,0.77,0.577,0.389,0.22,0.147,0.111
Q8IWC1,MAP7 domain-containing protein 3 OS=Homo sapiens GN=MAP7D3 PE=1 SV=2,MAP7D3,73,179,876,98.368,9.32,75,0.999,0.988,0.881,0.703,0.511,0.315,0.228,0.167,0.128,0.109
Q8IWD4,Coiled-coil domain-containing protein 117 OS=Homo sapiens GN=CCDC117 PE=1 SV=1,CCDC117,37,128,279,30.522,5.07,53,0.999,1.013,1.013,0.951,0.77,0.435,0.288,0.313,0.297,0.312
Q8IWD5,Major facilitator superfamily domain-containing protein 6-like OS=Homo sapiens GN=MFSD6L PE=2 SV=2,MFSD6L,1,1,586,63.964,8.59,1,0.999,0.983,1.008,0.699,0.523,0.229,0.104,0.063,0.048,0.079
Q8IWE2,Protein NOXP20 OS=Homo sapiens GN=FAM114A1 PE=1 SV=2,FAM114A1,5,11,563,60.704,4.68,5,0.999,1.129,1.01,1.099,0.705,0.423,0.156,0.103,0.106,0.103
Q8IWE5,Pleckstrin homology domain-containing family M member 2 OS=Homo sapiens GN=PLEKHM2 PE=1 SV=2,PLEKHM2,12,24,1019,112.709,4.93,11,0.999,1.033,1.005,0.956,0.628,0.362,0.175,0.117,0.108,0.105
Q8IWF2,FAD-dependent oxidoreductase domain-containing protein 2 OS=Homo sapiens GN=FOXRED2 PE=1 SV=1,FOXRED2,10,19,684,77.743,7.72,8,0.999,0.976,0.949,0.792,0.631,0.367,0.224,0.182,0.168,0.176
Q8IWF6,Protein DENND6A OS=Homo sapiens GN=DENND6A PE=2 SV=1,DENND6A,23,46,608,69.53,8.27,21,0.999,1.022,0.952,0.853,0.569,0.284,0.158,0.12,0.108,0.106
Q8IWF9,Isoform 2 of Coiled-coil domain-containing protein 83 OS=Homo sapiens GN=CCDC83,CCDC83,3,5,444,52.376,5.71,1,0.999,1.033,0.968,0.949,0.543,0.269,0.194,0.123,0.068,0.079
Q8IWJ2,GRIP and coiled-coil domain-containing protein 2 OS=Homo sapiens GN=GCC2 PE=1 SV=4,GCC2,192,404,1684,195.789,5.14,175,0.999,1.011,0.846,0.536,0.373,0.201,0.117,0.098,0.09,0.101
Q8IWK6,Probable G-protein coupled receptor 125 OS=Homo sapiens GN=GPR125 PE=1 SV=2,GPR125,4,8,1321,146.058,8.48,4,0.999,1.471,2.311,1.689,2.028,0.711,0.312,0.233,0.21,0.111
Q8IWL3,"Iron-sulfur cluster co-chaperone protein HscB, mitochondrial OS=Homo sapiens GN=HSCB PE=1 SV=3",HSCB,27,57,235,27.405,7.69,26,0.999,0.975,0.95,0.789,0.563,0.335,0.215,0.133,0.138,0.14
Q8IWP9,Coiled-coil domain-containing protein 28A OS=Homo sapiens GN=CCDC28A PE=1 SV=1,CCDC28A,11,21,274,30.348,9.25,10,0.999,1.008,0.958,0.841,0.633,0.441,0.339,0.225,0.188,0.179
Q8IWQ3,Isoform 4 of Serine/threonine-protein kinase BRSK2 OS=Homo sapiens GN=BRSK2,BRSK2,8,13,696,77.549,8.82,3,0.999,1.08,0.995,0.942,0.613,0.355,0.224,0.163,0.091,0.099
Q8IWR0,Zinc finger CCCH domain-containing protein 7A OS=Homo sapiens GN=ZC3H7A PE=1 SV=1,ZC3H7A,31,60,971,110.466,7.3,28,0.999,0.998,0.802,0.492,0.307,0.165,0.069,0.061,0.063,0.075
Q8IWS0,PHD finger protein 6 OS=Homo sapiens GN=PHF6 PE=1 SV=1,PHF6,12,55,365,41.264,8.68,23,0.999,1.033,0.998,0.939,0.523,0.169,0.124,0.063,0.068,0.099
Q8IWT0,Protein archease OS=Homo sapiens GN=ZBTB8OS PE=1 SV=2,ZBTB8OS,17,37,167,19.478,4.49,21,0.999,0.986,1.012,0.96,0.834,0.528,0.199,0.104,0.078,0.087
Q8IWU2,Serine/threonine-protein kinase LMTK2 OS=Homo sapiens GN=LMTK2 PE=1 SV=2,LMTK2,9,17,1503,164.799,4.48,6,0.999,1.036,0.983,0.944,0.853,0.56,0.359,0.261,0.174,0.142
Q8IWU9,Isoform b of Tryptophan 5-hydroxylase 2 OS=Homo sapiens GN=TPH2,TPH2,1,2,492,56.206,6.55,1,0.999,0.983,0.948,0.929,0.763,0.639,0.414,0.553,0.398,0.199
Q8IWV2,Contactin-4 OS=Homo sapiens GN=CNTN4 PE=1 SV=1,CNTN4,1,2,1026,113.383,7.47,1,0.999,0.983,1.038,0.909,0.703,0.339,0.144,0.103,0.098,0.099
Q8IWV7,E3 ubiquitin-protein ligase UBR1 OS=Homo sapiens GN=UBR1 PE=1 SV=1,UBR1,42,87,1749,200.08,6.01,37,0.999,0.993,0.907,0.572,0.368,0.206,0.11,0.088,0.085,0.089
Q8IWV8,E3 ubiquitin-protein ligase UBR2 OS=Homo sapiens GN=UBR2 PE=1 SV=1,UBR2,50,99,1755,200.408,6.24,47,0.999,0.939,0.869,0.605,0.35,0.212,0.124,0.079,0.077,0.087
Q8IWW6,Rho GTPase-activating protein 12 OS=Homo sapiens GN=ARHGAP12 PE=1 SV=1,ARHGAP12,22,47,846,96.196,7.61,21,0.999,0.964,0.957,0.803,0.505,0.234,0.132,0.11,0.094,0.104
Q8IWY8,Zinc finger and SCAN domain-containing protein 29 OS=Homo sapiens GN=ZSCAN29 PE=1 SV=2,ZSCAN29,1,2,852,96.659,6.99,1,0.999,0.713,1.138,1.159,1.123,1.129,1.134,1.003,0.608,0.259
Q8IWY9,Codanin-1 OS=Homo sapiens GN=CDAN1 PE=1 SV=4,CDAN1,7,14,1227,134.035,6.77,7,0.999,1.047,1.019,0.856,0.518,0.297,0.148,0.123,0.122,0.122
Q8IWZ3,Isoform 6 of Ankyrin repeat and KH domain-containing protein 1 OS=Homo sapiens GN=ANKHD1,ANKHD1,117,262,2617,277.004,5.86,53,0.999,0.979,0.78,0.514,0.362,0.198,0.132,0.085,0.087,0.096
Q8IWZ6,Bardet-Biedl syndrome 7 protein OS=Homo sapiens GN=BBS7 PE=1 SV=2,BBS7,17,32,715,80.302,6.05,16,0.999,0.964,0.89,0.72,0.42,0.206,0.096,0.075,0.078,0.087
Q8IWZ8,SURP and G-patch domain-containing protein 1 OS=Homo sapiens GN=SUGP1 PE=1 SV=2,SUGP1,49,119,645,72.425,7.61,56,0.999,0.944,0.868,0.676,0.472,0.256,0.158,0.117,0.098,0.089
Q8IX01,SURP and G-patch domain-containing protein 2 OS=Homo sapiens GN=SUGP2 PE=1 SV=2,SUGP2,38,72,1082,120.132,7.28,32,0.999,0.942,0.712,0.576,0.427,0.233,0.13,0.098,0.09,0.094
Q8IX03,Protein KIBRA OS=Homo sapiens GN=WWC1 PE=1 SV=1,WWC1,2,3,1113,125.223,5.85,1,0.999,0.993,0.738,0.299,0.223,0.099,0.044,0.023,0.038,0.059
Q8IX04,Ubiquitin-conjugating enzyme E2 variant 3 OS=Homo sapiens GN=UEVLD PE=1 SV=2,UEVLD,13,24,471,52.231,7.09,9,0.999,1.075,0.965,0.872,0.48,0.213,0.111,0.09,0.091,0.101
Q8IX12,Cell division cycle and apoptosis regulator protein 1 OS=Homo sapiens GN=CCAR1 PE=1 SV=2,CCAR1,123,479,1150,132.739,5.76,208,0.999,1.001,0.993,0.924,0.589,0.208,0.113,0.08,0.073,0.079
Q8IX18,Probable ATP-dependent RNA helicase DHX40 OS=Homo sapiens GN=DHX40 PE=1 SV=2,DHX40,55,145,779,88.504,8.65,70,0.999,1.005,0.952,0.785,0.4,0.219,0.12,0.095,0.102,0.096
Q8IX90,Spindle and kinetochore-associated protein 3 OS=Homo sapiens GN=SKA3 PE=1 SV=2,SKA3,33,70,412,46.33,5.11,31,0.999,0.945,0.739,0.54,0.424,0.25,0.18,0.145,0.132,0.128
Q8IXB1,DnaJ homolog subfamily C member 10 OS=Homo sapiens GN=DNAJC10 PE=1 SV=2,DNAJC10,43,99,793,91.021,7.18,44,0.999,0.95,0.903,0.817,0.684,0.51,0.409,0.367,0.323,0.346
Q8IXH7,Negative elongation factor C/D OS=Homo sapiens GN=NELFCD PE=1 SV=2,NELFCD,27,66,590,66.204,5.1,31,0.999,1.026,0.75,0.417,0.286,0.136,0.066,0.063,0.063,0.077
Q8IXJ6,NAD-dependent protein deacetylase sirtuin-2 OS=Homo sapiens GN=SIRT2 PE=1 SV=2,SIRT2,22,44,389,43.154,5.36,23,0.999,1.066,1.013,1,0.673,0.313,0.151,0.099,0.1,0.095
Q8IXK0,Isoform 5 of Polyhomeotic-like protein 2 OS=Homo sapiens GN=PHC2,PHC2,20,42,859,90.756,8.69,18,0.999,0.952,0.896,0.734,0.48,0.285,0.194,0.159,0.138,0.132
Q8IXL7,Isoform 2 of Methionine-R-sulfoxide reductase B3 OS=Homo sapiens GN=MSRB3,MSRB3,8,15,185,19.998,7.15,8,0.999,0.973,0.978,0.89,0.792,0.562,0.442,0.376,0.311,0.312
Q8IXM3,"39S ribosomal protein L41, mitochondrial OS=Homo sapiens GN=MRPL41 PE=1 SV=1",MRPL41,14,42,137,15.373,9.57,16,0.999,0.93,0.865,0.619,0.447,0.165,0.059,0.057,0.054,0.07
Q8IXQ3,Uncharacterized protein C9orf40 OS=Homo sapiens GN=C9orf40 PE=1 SV=1,C9orf40,15,37,194,21.05,5.01,18,0.999,0.975,1.006,0.93,0.812,0.571,0.442,0.363,0.323,0.257
Q8IXQ4,Uncharacterized protein KIAA1704 OS=Homo sapiens GN=KIAA1704 PE=1 SV=1,KIAA1704,43,181,340,38.119,5.41,83,0.999,0.99,1.032,0.996,0.95,0.836,0.752,0.69,0.61,0.511
Q8IXQ5,Kelch-like protein 7 OS=Homo sapiens GN=KLHL7 PE=1 SV=2,KLHL7,2,4,586,65.949,6.48,1,0.999,0.963,0.888,0.849,0.503,0.269,0.124,0.103,0.078,0.089
Q8IXQ9,Methyltransferase-like protein 20 OS=Homo sapiens GN=METTL20 PE=2 SV=1,METTL20,2,3,262,29.442,6.52,1,0.999,0.983,1.078,0.939,0.913,0.489,0.214,0.193,0.128,0.159
Q8IXS8,Protein FAM126B OS=Homo sapiens GN=FAM126B PE=1 SV=1,FAM126B,1,4,530,58.61,7.9,1,0.999,1.033,0.978,0.949,0.703,0.509,0.344,0.243,0.228,0.219
Q8IXT5,RNA-binding protein 12B OS=Homo sapiens GN=RBM12B PE=1 SV=2,RBM12B,6,12,1001,118.03,6.81,6,0.999,0.995,0.765,0.532,0.466,0.289,0.196,0.159,0.133,0.144
Q8IXU6,Solute carrier family 35 member F2 OS=Homo sapiens GN=SLC35F2 PE=1 SV=1,SLC35F2,1,2,374,41.185,6.21,1,0.999,0.843,0.918,0.809,0.733,0.599,0.504,0.463,0.428,0.289
Q8IXW5,Putative RNA polymerase II subunit B1 CTD phosphatase RPAP2 OS=Homo sapiens GN=RPAP2 PE=1 SV=1,RPAP2,37,78,612,69.466,7.78,34,0.999,1.03,0.925,0.725,0.407,0.22,0.116,0.074,0.073,0.089
Q8IXY8,Isoform 2 of Peptidyl-prolyl cis-trans isomerase-like 6 OS=Homo sapiens GN=PPIL6,PPIL6,1,1,337,38.281,8.21,1,0.999,0.963,1.078,0.919,0.933,0.639,0.524,0.413,0.228,0.109
Q8IY18,Structural maintenance of chromosomes protein 5 OS=Homo sapiens GN=SMC5 PE=1 SV=2,SMC5,61,126,1101,128.726,8.38,57,0.999,0.991,0.917,0.9,0.506,0.213,0.115,0.086,0.076,0.086
Q8IY22,C-Maf-inducing protein OS=Homo sapiens GN=CMIP PE=1 SV=3,CMIP,2,4,773,86.275,6.7,2,0.999,0.983,0.623,0.454,0.363,0.264,0.194,0.163,0.178,0.194
Q8IY26,Presqualene diphosphate phosphatase OS=Homo sapiens GN=PPAPDC2 PE=1 SV=3,PPAPDC2,2,4,295,32.173,9.99,2,0.999,1.043,1.028,0.964,0.993,0.819,0.789,0.588,0.293,0.164
Q8IY31,Isoform 2 of Intraflagellar transport protein 20 homolog OS=Homo sapiens GN=IFT20,IFT20,15,31,158,18.108,5.06,15,0.999,0.98,0.854,0.695,0.469,0.289,0.171,0.13,0.122,0.115
Q8IY33,MICAL-like protein 2 OS=Homo sapiens GN=MICALL2 PE=1 SV=1,MICALL2,1,2,904,97.442,9.57,1,0.999,1.083,0.938,0.949,0.583,0.439,0.114,0.233,0.088,0.109
Q8IY37,Probable ATP-dependent RNA helicase DHX37 OS=Homo sapiens GN=DHX37 PE=1 SV=1,DHX37,25,47,1157,129.464,8.1,18,0.999,0.991,0.846,0.611,0.358,0.204,0.107,0.088,0.093,0.101
Q8IY47,Kelch repeat and BTB domain-containing protein 2 OS=Homo sapiens GN=KBTBD2 PE=2 SV=2,KBTBD2,7,12,623,71.284,5.62,6,0.999,1.028,1.003,0.959,0.748,0.449,0.159,0.103,0.093,0.094
Q8IY50,Isoform 2 of Solute carrier family 35 member F3 OS=Homo sapiens GN=SLC35F3,SLC35F3,1,4,490,54.738,9.51,2,0.999,0.933,0.898,0.819,0.573,0.359,0.234,0.183,0.158,0.139
Q8IY57,YY1-associated factor 2 OS=Homo sapiens GN=YAF2 PE=1 SV=3,YAF2,8,31,180,19.889,9.72,11,0.999,0.813,0.987,0.901,0.722,0.771,0.56,0.444,0.436,0.427
Q8IY63,Angiomotin-like protein 1 OS=Homo sapiens GN=AMOTL1 PE=1 SV=1,AMOTL1,21,67,956,106.508,7.11,11,0.999,1.001,0.911,0.762,0.439,0.281,0.179,0.138,0.131,0.136
Q8IY81,pre-rRNA processing protein FTSJ3 OS=Homo sapiens GN=FTSJ3 PE=1 SV=2,FTSJ3,19,37,847,96.499,8.4,18,0.999,0.916,0.773,0.631,0.545,0.274,0.167,0.118,0.118,0.1
Q8IY84,Serine/threonine-protein kinase NIM1 OS=Homo sapiens GN=NIM1 PE=1 SV=1,NIM1,1,1,436,49.575,8.35,1,0.999,1.663,0.958,1.109,0.733,0.709,0.664,0.493,0.388,0.339
Q8IY92,Structure-specific endonuclease subunit SLX4 OS=Homo sapiens GN=SLX4 PE=1 SV=3,SLX4,2,3,1834,199.889,6.06,1,0.999,0.973,0.928,0.789,0.563,0.369,0.194,0.153,0.138,0.109
Q8IY95,Transmembrane protein 192 OS=Homo sapiens GN=TMEM192 PE=1 SV=1,TMEM192,3,6,271,30.903,7.99,3,0.999,0.88,0.841,0.799,0.653,0.645,0.628,0.579,0.408,0.329
Q8IYA6,Cytoskeleton-associated protein 2-like OS=Homo sapiens GN=CKAP2L PE=1 SV=4,CKAP2L,5,6,745,83.535,9.83,3,0.999,1.036,1.101,1.139,0.773,0.565,0.314,0.259,0.164,0.179
Q8IYB1,Protein MB21D2 OS=Homo sapiens GN=MB21D2 PE=1 SV=3,MB21D2,17,35,491,55.764,7.03,17,0.999,1.032,1.014,0.958,0.823,0.72,0.467,0.405,0.313,0.227
Q8IYB5,Isoform 2 of Stromal membrane-associated protein 1 OS=Homo sapiens GN=SMAP1,SMAP1,35,106,440,47.579,8.88,49,0.999,1.019,1.011,0.967,0.699,0.349,0.154,0.098,0.083,0.089
Q8IYB7,DIS3-like exonuclease 2 OS=Homo sapiens GN=DIS3L2 PE=1 SV=4,DIS3L2,72,162,885,99.216,6.1,74,0.999,0.974,0.976,0.877,0.652,0.269,0.144,0.101,0.093,0.09
Q8IYB8,"ATP-dependent RNA helicase SUPV3L1, mitochondrial OS=Homo sapiens GN=SUPV3L1 PE=1 SV=1",SUPV3L1,55,141,786,87.935,7.99,70,0.999,1.033,0.98,0.922,0.612,0.305,0.125,0.095,0.086,0.089
Q8IYD1,Eukaryotic peptide chain release factor GTP-binding subunit ERF3B OS=Homo sapiens GN=GSPT2 PE=1 SV=2,GSPT2,48,384,628,68.84,5.43,10,0.999,1.02,0.984,0.877,0.606,0.279,0.177,0.137,0.114,0.115
Q8IYE1,Coiled-coil domain-containing protein 13 OS=Homo sapiens GN=CCDC13 PE=2 SV=2,CCDC13,4,5,715,80.834,8.84,3,0.999,0.99,0.948,0.882,0.673,0.439,0.238,0.129,0.101,0.082
Q8IYF3,Testis-expressed sequence 11 protein OS=Homo sapiens GN=TEX11 PE=1 SV=3,TEX11,2,4,940,107.819,5.16,2,0.999,1.073,1.073,1.009,0.958,0.879,0.689,0.528,0.328,0.179
Q8IYH5,ZZ-type zinc finger-containing protein 3 OS=Homo sapiens GN=ZZZ3 PE=1 SV=1,ZZZ3,21,57,903,101.96,5.69,15,0.999,0.959,0.906,0.749,0.662,0.533,0.375,0.315,0.284,0.275
Q8IYI6,Exocyst complex component 8 OS=Homo sapiens GN=EXOC8 PE=1 SV=2,EXOC8,63,145,725,81.747,5.49,70,0.999,1.051,0.919,0.761,0.395,0.213,0.119,0.091,0.084,0.089
Q8IYK4,Procollagen galactosyltransferase 2 OS=Homo sapiens GN=COLGALT2 PE=1 SV=1,COLGALT2,3,5,626,72.878,6.2,1,0.999,1.583,0.998,0.999,0.663,0.459,0.314,0.243,0.238,0.279
Q8IYL2,Probable tRNA (uracil-O(2)-)-methyltransferase OS=Homo sapiens GN=TRMT44 PE=2 SV=2,TRMT44,5,12,757,84.576,7.27,5,0.999,1.005,0.785,0.692,0.471,0.32,0.203,0.126,0.073,0.083
Q8IYL3,UPF0688 protein C1orf174 OS=Homo sapiens GN=C1orf174 PE=1 SV=2,C1orf174,10,40,243,25.961,6.9,20,0.999,1.023,1.08,0.876,0.847,0.617,0.508,0.418,0.29,0.243
Q8IYM0,Protein FAM186B OS=Homo sapiens GN=FAM186B PE=2 SV=2,FAM186B,1,1,893,103.657,9.01,1,0.999,0.843,0.788,0.399,0.323,0.179,0.104,0.083,0.078,0.089
Q8IYM9,E3 ubiquitin-protein ligase TRIM22 OS=Homo sapiens GN=TRIM22 PE=1 SV=1,TRIM22,1,1,498,56.911,7.72,1,0.999,1.003,0.898,0.939,0.923,0.779,0.664,0.503,0.358,0.369
Q8IYN2,Transcription elongation factor A protein-like 8 OS=Homo sapiens GN=TCEAL8 PE=2 SV=1,TCEAL8,15,30,117,13.608,5.39,15,0.999,0.948,0.927,0.819,0.672,0.469,0.405,0.362,0.33,0.312
Q8IYQ7,Threonine synthase-like 1 OS=Homo sapiens GN=THNSL1 PE=1 SV=2,THNSL1,34,79,743,83.017,7.12,38,0.999,0.988,1.013,0.916,0.763,0.421,0.209,0.13,0.105,0.106
Q8IYR2,SET and MYND domain-containing protein 4 OS=Homo sapiens GN=SMYD4 PE=2 SV=3,SMYD4,6,10,804,89.168,6.83,5,0.999,0.925,0.668,0.495,0.365,0.167,0.122,0.091,0.07,0.101
Q8IYS1,Peptidase M20 domain-containing protein 2 OS=Homo sapiens GN=PM20D2 PE=1 SV=2,PM20D2,48,174,436,47.746,5.85,79,0.999,0.952,0.926,0.788,0.595,0.346,0.196,0.094,0.082,0.081
Q8IYT2,FtsJ methyltransferase domain-containing protein 1 OS=Homo sapiens GN=FTSJD1 PE=2 SV=2,FTSJD1,1,2,770,88.062,7.01,1,0.999,1.043,1.008,0.629,0.383,0.189,0.124,0.123,0.118,0.109
Q8IYT4,Katanin p60 ATPase-containing subunit A-like 2 OS=Homo sapiens GN=KATNAL2 PE=2 SV=3,KATNAL2,4,54,538,61.214,7.56,13,0.999,0.996,0.97,1.033,0.935,0.814,0.905,0.864,0.648,0.503
Q8IYT8,Serine/threonine-protein kinase ULK2 OS=Homo sapiens GN=ULK2 PE=1 SV=3,ULK2,2,3,1036,112.622,8.53,2,0.999,1.123,1.168,1.044,0.893,0.734,0.559,0.353,0.508,0.309
Q8IYU2,E3 ubiquitin-protein ligase HACE1 OS=Homo sapiens GN=HACE1 PE=1 SV=2,HACE1,4,7,909,102.276,5.92,3,0.999,1.073,0.995,0.872,0.496,0.249,0.171,0.113,0.121,0.112
Q8IYU8,"Calcium uptake protein 2, mitochondrial OS=Homo sapiens GN=MICU2 PE=1 SV=2",MICU2,4,8,434,49.634,9.09,4,0.999,1.073,0.974,0.934,0.577,0.376,0.192,0.131,0.09,0.104
Q8IYW5,E3 ubiquitin-protein ligase RNF168 OS=Homo sapiens GN=RNF168 PE=1 SV=1,RNF168,6,11,571,64.979,7.96,4,0.999,0.982,0.977,0.869,0.671,0.462,0.369,0.269,0.224,0.15
Q8IZ07,Ankyrin repeat domain-containing protein 13A OS=Homo sapiens GN=ANKRD13A PE=1 SV=3,ANKRD13A,17,33,590,67.577,5.02,13,0.999,1.059,0.957,0.934,0.616,0.329,0.191,0.133,0.128,0.115
Q8IZ21,Isoform 2 of Phosphatase and actin regulator 4 OS=Homo sapiens GN=PHACTR4,PHACTR4,76,183,712,79.081,6.73,86,0.999,1.014,1.035,0.991,0.88,0.718,0.608,0.519,0.442,0.392
Q8IZ73,RNA pseudouridylate synthase domain-containing protein 2 OS=Homo sapiens GN=RPUSD2 PE=1 SV=2,RPUSD2,45,156,545,61.273,7.17,71,0.999,0.98,0.988,0.924,0.835,0.654,0.44,0.178,0.1,0.096
Q8IZ81,ELMO domain-containing protein 2 OS=Homo sapiens GN=ELMOD2 PE=1 SV=1,ELMOD2,9,15,293,34.938,8.05,7,0.999,1.024,0.947,0.895,0.688,0.441,0.3,0.281,0.207,0.205
Q8IZ83,Aldehyde dehydrogenase family 16 member A1 OS=Homo sapiens GN=ALDH16A1 PE=1 SV=2,ALDH16A1,52,193,802,85.074,6.79,85,0.999,1.004,0.989,0.924,0.825,0.659,0.567,0.475,0.345,0.151
Q8IZA0,Dyslexia-associated protein KIAA0319-like protein OS=Homo sapiens GN=KIAA0319L PE=1 SV=2,KIAA0319L,4,8,1049,115.586,6.05,4,0.999,0.963,0.929,0.863,0.706,0.621,0.534,0.455,0.28,0.266
Q8IZA3,Histone H1oo OS=Homo sapiens GN=H1FOO PE=2 SV=1,H1FOO,1,1,346,35.792,11.27,1,0.999,1.003,0.998,0.999,1.083,1.159,1.044,0.553,0.358,0.239
Q8IZD2,Histone-lysine N-methyltransferase MLL5 OS=Homo sapiens GN=MLL5 PE=1 SV=1,MLL5,2,3,1858,204.838,7.61,1,0.999,0.873,0.788,0.699,0.543,0.309,0.184,0.143,0.108,0.119
